"UsageDate","CostUSD","Cost","Currency"
"2021-09-01","4.002451302","4.002451302","USD"
"2021-10-01","23.168325077520002","23.168325077520002","USD"
"2021-11-01","26.326573840440002","26.326573840440002","USD"
"2021-12-01","27.23702653443939","27.23702653443939","USD"
"2022-01-01","129.49001269695924","129.49001269695924","USD"
"2022-02-01","71.85263344069422","71.85263344069422","USD"
"2022-03-01","138.5001536356791","138.5001536356791","USD"
"2022-04-01","104.51288602525487","104.51288602525487","USD"
"2022-05-01","193.74054487506515","193.74054487506515","USD"
"2022-06-01","137.98877584047656","137.98877584047656","USD"
"2022-07-01","74.60148687608401","74.60148687608401","USD"
"2022-08-01","96.90597719113363","96.90597719113363","USD"
"2022-09-01","105.6405323799868","105.6405323799868","USD"
